Item,Price
Priya Cut Mango 300gm,4.19
Priya Gongura 300gm,4.19
Priya Lime 300gm,4.19
Priya Tomato 300gm,4.19
Priya Coriander 300gm,4.19
Grb Ghee 500ml,14.99
Laxmi Ghee 400ml,11.99
Narasu's Udhayam 500gms ,7.99
Cothas Coffee 454gms,7.99
Bru Instant 50gms,3.99
Bru Instant 100gms,4.99
Bru Instant 200gms,8.49
Nescafe Sunrise 90gms ,6.89
Nescafe classic 95gms,7.99
Wagh bakri 1lb tea,7.99
wagh Bakri 2lb tea,13.29
Red Label tea 1lb,7.99
Red Lable 2lb tea ,13.29
Boost 500gms,7.99
Horlicks chocolate 500gms,6.99
Horlicks chocolate 1kg ,12.49
Cadbury Bournvita 1kg,11.99
Complan 500gm,7.99
Parle Elaichi 200gm rusk,2.49
Parle Elaichi 400gm rusk,3.99
Britannia 280gms milk rusk,3.99
Britannia 560gms milk rusk,6.99
Britannia Toast tea dry cake 300gms ,5.99
Parliament rusk 300gms ,3.99
Red chilli powder 200gms ,2.99
Extra hot chilli powder 200gms ,2.99
cinnamon sticks 200gms,6.49
cardamom 100gms ,8.49
turmeric 200gms ,3.49
coriander powder 200gms ,2.99
coriander seeds 400gms ,6.49
red chillies whole 200gms ,5.49
cimun seeds 400gms,6.49
javitri 100gms ,9.49
garam masala whole 200gms ,4.49
black cardamom 100gms,6.49
bay leaves 1oz,2.49
mustard seeds 200gms ,3.49
fenugreek seeds 400gms ,5.49
sesame seeds 200gms ,3.49
ajwain 200gms,4.49
kalonji 100gms ,3.49
Everest sambhar masala ,2.99
Everest tandoori Masala,2.99
Everest chole masala ,2.99
Everest chicken masala ,2.99
Everest garam masala ,2.99
Everest chaat masala,2.99
Everest pani puri masala,2.99
Everest kitchen king masala,2.99
Shan Pilau Biryani masala,2.99
Shan Mutton Biryani masala,2.99
Shan meat masala ,2.99
Shan chicken tikka masala ,2.99
Shan ginger garlic paste 700gms,5.49
Shan ginger paste 700gms ,5.49
Shan garlic paste 700gms ,5.49
MDH kasoori Methi 100gms ,5.49
Urad dal 4lb,7.99
Urad gota 4lb,9.99
Toor dal 4lb,7.99
Channa dal 4lb ,6.99
Moong dal 4lb,7.49
